Ticker,Company name,Share holder name,Share holder category,Jun/2026 No of shares,Mar/2026 No of shares,Dec/2025 No of shares,Jun/2025 No of shares,Sep/2025 No of shares,Basis,Confidence,Country,Entity type,Holding vehicle,Review?,Source
BEL,Bharat Electronics Limited,President of India,Promoter,3737921934,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
BEL,Bharat Electronics Limited,Kotak flexicap fund - various schemes,Domestic AMC,165115111,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BEL,Bharat Electronics Limited,SBI Nifty 50 ETF - various schemes,Domestic AMC,155389527,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BEL,Bharat Electronics Limited,CPSE exchange traded scheme - various schemes,Domestic AMC,148831792,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BEL,Bharat Electronics Limited,HDFC mutual fund - varuous schemes,Domestic AMC,95557340,,,,,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BEL,Bharat Electronics Limited,Motilal oswal - various schemes,Domestic AMC,78382104,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BEL,Bharat Electronics Limited,ICICI prudential nifty etf - various schemes,Domestic AMC,75916177,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BEL,Bharat Electronics Limited,Government of Singapore,Foreign Government,80899294,,,,,web,high,SG,sovereign_wealth_fund,sovereign_assets,,https://ifswf.org/member-profiles/government-singapore-investment-corporation
BEL,Bharat Electronics Limited,Life insurance corporation of india (various schemes),Domestic Insurance,82734308,,,,,rule:insurance+india,high,IN,insurer,insurance_float,,matched by deterministic name rule
BEL,Bharat Electronics Limited,NPS trust- a/c hdfc pension fund management limited scheme e - tier i (various schemes),Domestic AMC,167073789,,,,,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BHARTIARTL,Bharti Airtel Limited,Bharti telecom limited,Promoter,2466133527,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
BHARTIARTL,Bharti Airtel Limited,Pastel limited,Promoter,456228212,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
BHARTIARTL,Bharti Airtel Limited,Indian continent investment limited,Promoter,55967792,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
BHARTIARTL,Bharti Airtel Limited,SBI ELSS Tax Saver Fund,Domestic AMC,157976816,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BHARTIARTL,Bharti Airtel Limited,ICICI Prudential Mutual Fund - ICICI Prudential NI,Domestic AMC,104981853,,,,,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BHARTIARTL,Bharti Airtel Limited,HDFC Mutual Fund - HDFC Technology Fund,Domestic AMC,84667934,,,,,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BHARTIARTL,Bharti Airtel Limited,UTI Multi Cap Fund,Domestic AMC,66082158,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
BHARTIARTL,Bharti Airtel Limited,Google International LLC,Foreign corporate,71176839,,,,,web,high,US,operating_company,operating_company_treasury,,https://sec.gov/Archives/edgar/data/1288776/000119312507044494/dex2101.htm
BHARTIARTL,Bharti Airtel Limited,Government of Singapore - E,Foreign Government,64377450,,,,,web,medium,SG,sovereign_wealth_fund,sovereign_assets,REVIEW,https://ifswf.org/member-profiles/government-singapore-investment-corporation
BHARTIARTL,Bharti Airtel Limited,Government Pension Fund Global,Foreign Government,61036886,,,,,web,high,NO,sovereign_wealth_fund,sovereign_assets,,https://en.wikipedia.org/wiki/Government_Pension_Fund_of_Norway
BHARTIARTL,Bharti Airtel Limited,LICi New Pension Plus Secured Fund,Domestic Insurance,258208931,,,,,rule:indian-insurer-scheme,high,IN,insurer,insurance_float,,matched by deterministic name rule
BHARTIARTL,Bharti Airtel Limited,NPS Trust A/C - SBI PF NPS Jeevan Swarna Retirement,Domestic AMC,115630605,,,,,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
CIPLA,Cipla Limited,Yusuf Khwaja Hamied,Promoter,150521183,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
CIPLA,Cipla Limited,Sophie Ahmed,Promoter,45982000,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
CIPLA,Cipla Limited,M K Hamied,Promoter,27844320,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
CIPLA,Cipla Limited,Kamil Hamied,Promoter,10939500,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
CIPLA,Cipla Limited,HDFC Trustee Company Limited-HDFC Flexi Cap Fund,Domestic AMC,36089803,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
CIPLA,Cipla Limited,SBI Nifty 50 Equal Weight Index Fund,Domestic AMC,26078195,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
CIPLA,Cipla Limited,ICICI Prudential Equity Savings Fund,Domestic AMC,18982812,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
CIPLA,Cipla Limited,Nippon Life India Trustee Ltd-A/C Nippon India Arb,Domestic Insurance,15766895,,,,,rule:insurance+india,high,IN,insurer,insurance_float,,matched by deterministic name rule
CIPLA,Cipla Limited,DSP Nifty 50 Index Fund,Domestic AMC,15292938,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
CIPLA,Cipla Limited,Parag Parikh Arbitrage Fund,Domestic AMC,15050570,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
CIPLA,Cipla Limited,Government Pension Fund Global,Foreign Government,10431209,,,,,web,high,NO,sovereign_wealth_fund,sovereign_assets,,https://en.wikipedia.org/wiki/Government_Pension_Fund_of_Norway
CIPLA,Cipla Limited,Vanguard Total International Stock Index Fund,Foreign AMC,8394985,,,,,web,high,US,asset_manager,managed_funds,,https://sec.gov/Archives/edgar/data/736054/000168386322001087/f11043d1.htm
CIPLA,Cipla Limited,LICI ULIP-Growth Fund,Domestic Insurance,78556781,,,,,rule:indian-insurer-scheme,high,IN,insurer,insurance_float,,matched by deterministic name rule
CIPLA,Cipla Limited,NPS Trust A/C - LIC Pension Fund - UPS - CG Scheme,Domestic AMC,13742847,,,,,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
COALINDIA,Coal India Limited,President of India,Promoter,3767456372,,,,,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
COALINDIA,Coal India Limited,Parag parikh flexi cap fund,Domestic AMC,186881004,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
COALINDIA,Coal India Limited,CPSE exchange traded scheme (CPSE ETF),Domestic AMC,96936016,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
COALINDIA,Coal India Limited,SBI Nifty 50 ETF,Domestic AMC,85175109,,,,,rule:indian-fund-scheme,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
