Company name,Share holder name,Share holder category,Jun/2025 No of shares,Sep/2025 No of shares,Dec/2025 No of shares,Mar/2026 No of shares,Jun/2026 No of shares,Basis,Confidence,Country,Entity type,Holding vehicle,Review?,Source
RELIANCE INDUSTRIES LTD,Srichakra Commercials LLP,Promoter,,,,,1479199658,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Devarshi Commercials LLP,Promoter,,,,,1091138920,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Karuna Commercials LLP,Promoter,,,,,1091138920,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Tattvam Enterprises LLP,Promoter,,,,,1091138920,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Life Insurance Corporation of India,Domestic Insurance,,922278344,906331168,903673305,914304756,rule:insurance+india,high,IN,insurer,insurance_float,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Reliance Industries Holding Private Ltd,Promoter,,,,,608030142,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Reliance Industrial Investments and Holdings Ltd,Promoter,,,,,481884012,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Reliance Services and Holdings Limited,Promoter,,,,,343765640,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,SBI Mutual Fund,Domestic AMC,331701260,335820947,329707863,332232833,342332711,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Vanguard Group Inc/The,Foreign AMC,,,,,295667028,web,high,US,asset_manager,managed_funds,,https://www.wikidata.org/wiki/Q849363
RELIANCE INDUSTRIES LTD,Blackrock Inc,Foreign AMC,,,,,255773102,web,high,US,asset_manager,managed_funds,,https://www.sec.gov/Archives/edgar/data/1364742/000119312508041884/d10k.htm
RELIANCE INDUSTRIES LTD,Samarjit Enterprises LLP,Promoter,,,,,249250548,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,ICICI Prudential Mutual Fund,Domestic AMC,195485799,222330212,206914608,209705364,235353739,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,NPS Trust,Domestic Pension Fund,,146182446,171432142,188708249,205984356,web,high,IN,pension_fund,pension_assets,,https://www.pfrda.org.in/web/pfrda/intermediaries/registered-intermediaries/nps-trust
RELIANCE INDUSTRIES LTD,HDFC Mutual Fund,Domestic AMC,91430476,96613308,103922430,118407782,130102377,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,UTI Mutual Fund,Domestic AMC,100068529,103789537,107776331,114553881,120268285,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Nippon India Mutual Fund,Domestic AMC,102460606,107776331,109503942,113623629,116547278,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Government Pension Fund Global,Foreign Pension Fund,,,,,105494998,web,medium,NO,pension_fund,pension_assets,REVIEW,https://www.nbim.no/
RELIANCE INDUSTRIES LTD,Sikka Ports & Terminals Limited,Promoter,,,,,70000000,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Kotak Mahindra Mutual Fund,Domestic AMC,45848131,52758574,42127123,44386306,52891467,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Mirae Asset Mutual Fund,Domestic AMC,32691711,33090390,30299634,37741650,48107314,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Aditya Birla Sun Life Mutual Fund,Domestic AMC,44120520,44120520,45316558,46246810,43987627,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,Axis Mutual Fund,Domestic AMC,36811398,34818001,39070581,36014039,33223283,rule:amc+india,high,IN,asset_manager,managed_funds,,matched by deterministic name rule
RELIANCE INDUSTRIES LTD,K D Ambani,Promoter,,,,,31482644,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Shrikrishna Tradecom LLP,Promoter,,,,,28675930,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
RELIANCE INDUSTRIES LTD,Shreeji Comtrade LLP,Promoter,,,,,28675930,filing (token+numeric),high,IN,,,,"SEBI LODR Reg 31 shareholding pattern (Table II - Promoter & Promoter Group), as at 2026-06-30"
